"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"87","19-18152",59.6,82.2,132.3,37.9,0.8,9.6,494.3,"PrStj21[obs:npt]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[lodging]; YTNeo22[lodging]; YTUrb22[Lodging]; YTUrb22[Leaning bad]",22.58
"88","19-18153",59.2,88.4,131.1,37.8,1,11.2,530.2,"PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:R]; YTUrb22[Lodging]",32.08
"89","19-18156",58.9,86.6,132.9,36.5,1,13.1,509,"PrStj21[obs:npt]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[late]; YTNeo22[scab]; YTUrb22[Short]; YTUrb22[Leaning]",29.81
"90","19-18157",59.3,83.7,131.6,36.4,0.6,10,508.2,"PrStj21[obs:nice appearance]; PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:R]; YTNeo22[lodging]; YTUrb22[Leaning]",31.26
"91","19-18725",58.9,89.2,129.9,36,1.1,23.5,531.6,"PrStj21[FHB:S]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[sacb]; YTUrb22[Npt]",31.78
"92","19-18826",58.7,88,130.6,37.9,1,13.6,529.8,"PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[clean, tall]; YTUrb22[Tall]",31.68
"93","19-18832",58.7,81.5,131.4,36.7,0.6,10,498.3,"PrUrb21[exclude_plot:true, rust:R]; PrUrb21[exclude_plot:true, rust:R]; YTNeo22[septoria]; YTNeo22[lodging, septoria]; YTUrb22[Looks weak]",32.65
"94","19-18837",59.1,86.2,131.8,37,0.6,7.5,523.9,"PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[late, leaning]",29.87
"95","19-18957",58.5,81.5,128.6,36.7,0.5,7.4,515.7,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[lodging]; YTUrb22[Lodg]",31.5
"96","19-19146",58.5,84.2,132,37.8,0.6,11,508,"PrStj21[oats:Moderate obs:suceptible to lodging]; PrStj21[obs:very nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning, clean]; YTNeo22[lodging]; YTUrb22[Lodging]; YTUrb22[Lodging]",30.71
