"","x"
"937","17-17924"
"938","17-17960"
"939","17-17970"
"940","17-18004"
"941","17-18005"
"942","17-18010"
"943","17-18034"
"944","17-18047"
"945","17-18056"
"946","17-18061"
"947","17-18116"
"948","17-18122"
"949","17-18159"
"950","17-18176"
"951","17-18179"
"952","17-18210"
"953","17-18211"
"954","17-18226"
"955","17-18228"
"956","17-18232"
"957","17-18245"
"958","17-18252"
"959","17-18253"
"960","17-18265"
"961","17-18320"
"962","17-18370"
"963","17-18376"
"964","17-18404"
"965","17-18421"
"966","17-18454"
"967","17-18461"
"968","17-18474"
"969","17-18513"
"970","17-18529"
"971","17-18533"
"972","17-18534"
"973","17-18552"
"974","17-18560"
"975","17-18573"
"976","17-18647"
"977","17-18651"
"978","17-18656"
"979","17-18707"
"980","17-18726"
"981","17-18734"
"982","17-18765"
"983","17-18777"
"984","17-18829"
"985","17-18849"
"986","17-18865"
"987","17-18866"
"988","17-18870"
"989","17-18871"
"990","17-18943"
"991","17-18953"
"992","17-18957"
"993","17-18972"
"994","17-18978"
"995","17-19033"
"996","17-19102"
"997","17-19135"
"998","17-19145"
"999","17-19259"
"1000","17-19271"
"1001","17-19318"
"1002","17-19333"
"1003","17-19355"
"1004","17-19412"
"1005","17-19421"
"1006","17-19422"
"1007","17-19468"
"1008","17-19518"
"1009","17-19519"
"1010","17-19525"
"1011","17-19535"
"1012","17-19538"
"1013","17-19555"
"1014","17-19630"
"1015","17-19647"
"1016","17-19652"
"1017","17-19659"
"1018","17-19665"
"1019","17-19673"
"1020","17-19701"
"1021","17-19726"
"1022","17-19729"
"1023","17-19736"
"1024","17-19756"
"1025","17-19810"
"1026","17-19830"
"1027","17-19831"
"1028","17-19832"
"1029","17-19838"
"1030","17-19909"
"1031","17-19939"
"1032","17-19949"
"1033","17-19956"
"1034","17-19970"
"1035","17-19971"
"1036","17-19977"
"1037","17-20013"
"1038","17-20016"
"1039","17-20035"
"1040","17-20051"
"1041","17-20112"
"1042","17-20121"
"1043","17-20124"
"1044","17-20138"
"1045","17-20142"
"1046","17-20152"
"1047","17-20153"
"1048","17-20171"
"1049","17-20178"
"1050","17-20227"
"1051","17-20232"
"1052","17-20246"
"1053","17-20276"
"1054","17-20306"
"1055","17-20315"
"1056","17-20338"
"1057","17-20343"
"1058","17-20346"
"1059","17-20347"
"1060","17-20351"
"1061","17-20379"
"1062","17-20414"
"1063","17-20417"
"1064","17-20418"
"1065","17-20419"
"1066","17-20426"
"1067","17-20435"
"1068","17-20436"
"1069","17-20439"
"1070","17-20442"
"1071","17-20446"
"1072","17-20452"
"1073","17-20457"
"1074","17-20459"
"1075","17-20462"
"1076","17-20467"
"1077","17-20470"
"1078","17-20471"
"1079","17-20472"
"1080","17-20501"
"1081","17-20542"
"1082","17-20543"
"1083","17-20554"
"1084","17-20479"
"1085","17-20621"
"1086","17-20631"
"1087","17-20647"
"1088","17-20651"
"1089","17-20655"
"1090","17-20658"
"1091","17-20673"
"1092","17-20703"
"1093","17-20715"
"1094","17-20725"
"1095","17-20726"
"1096","17-20736"
"1097","17-20761"
"1098","17-20770"
"1099","17-20771"
"1100","17-20875"
"1101","17-21201"
"1102","17-21243"
"1103","17-21248"
"1104","17-21302"
"1105","17-21303"
"1106","17-21313"
"1107","17-21314"
"1108","17-21345"
"1109","17-21355"
"1110","17-21357"
"1111","17-21419"
"1112","17-21421"
"1113","17-21428"
"1114","17-21429"
"1115","17-21441"
"1116","17-21444"
"1117","17-21447"
"1118","17-21449"
"1119","17-21467"
"1120","17-21517"
"1121","17-21519"
"1122","17-21532"
"1123","17-21539"
"1124","17-21562"
"1125","17-21563"
"1126","17-21576"
"1127","17-21625"
"1128","17-21626"
"1129","17-21707"
"1130","17-21751"
"1131","17-21752"
"1132","17-21764"
"1133","17-21767"
"1134","17-21774"
"1135","17-21803"
"1136","17-21812"
"1137","17-21820"
"1138","17-21824"
"1139","17-21871"
"1140","17-21914"
"1141","17-21968"
"1142","17-21973"
"1143","17-21979"
"1144","17-22014"
"1145","17-22053"
"1146","17-22057"
"1147","17-22058"
"1148","17-22061"
"1149","17-22065"
"1150","17-22071"
"1151","17-22075"
"1152","17-22079"
"1153","17-22111"
"1154","17-22134"
"1155","17-22150"
"1156","17-22156"
"1157","17-22162"
"1158","17-22168"
"1159","17-22249"
"1160","17-22253"
"1161","17-22254"
"1162","17-22255"
"1163","17-22257"
"1164","17-22258"
"1165","17-22263"
"1166","17-22271"
"1167","17-22277"
"1168","17-22305"
"1169","17-22307"
"1170","17-22316"
"1171","17-22317"
"1172","17-22319"
"1173","17-22327"
"1174","17-22333"
"1175","17-22338"
"1176","17-22339"
"1177","17-22361"
"1178","17-22378"
"1179","17-22379"
"1180","17-22419"
"1181","17-22522"
"1182","17-22606"
"1183","17-22618"
"1184","17-22622"
"1185","17-22666"
"1186","17-22733"
"1187","17-22734"
"1188","17-22742"
"1189","17-22761"
"1190","17-22802"
"1191","17-22932"
"1192","17-22958"
"1193","17-22962"
"1194","17-22963"
"1195","17-22965"
"1196","17-23002"
"1197","17-23003"
"1198","17-23006"
"1199","17-23010"
"1200","17-23030"
"1201","17-23134"
"1202","17-23138"
"1203","17-23155"
"1204","17-23168"
"1205","17-23204"
"1206","17-23207"
"1207","17-23216"
"1208","17-23223"
"1209","17-23252"
"1210","17-23268"
"1211","17-23329"
"1212","17-23372"
"1213","17-23418"
"1214","17-23563"
"1215","17-23567"
"1216","17-23648"
"1217","17-23714"
"1218","17-23844"
"1219","17-23846"
"1220","17-23862"
"1221","17-23868"
"1222","17-23874"
"1223","17-23902"
"1224","17-23903"
"1225","17-23904"
"1226","17-23907"
"1227","17-23909"
"1228","17-23912"
"1229","17-23931"
"1230","17-23934"
"1231","17-23936"
"1232","17-23949"
"1233","17-23964"
"1234","17-23969"
"1235","17-23971"
"1236","17-24010"
"1237","17-24011"
"1238","17-24018"
"1239","17-24061"
"1240","17-24214"
"1241","17-24225"
"1242","17-24347"
"1243","17-24407"
"1244","17-24469"
"1245","17-24475"
"1246","17-24508"
"1247","17-24531"
"1248","17-24550"
"1249","17-24551"
"1250","17-24557"
"1251","17-24561"
"1252","17-24663"
"1253","17-24746"
"1254","17-24759"
"1255","17-24770"
"1256","17-24829"
"1257","17-24839"
"1258","17-24863"
"1259","17-24864"
"1260","17-24921"
"1261","17-24926"
"1262","17-24941"
"1263","17-24947"
"1264","17-24968"
"1265","17-24977"
"1266","17-25024"
"1267","17-25114"
"1268","17-25117"
"1269","17-25135"
"1270","17-25139"
"1271","17-25158"
"1272","17-25205"
"1273","17-25431"
"1274","17-25432"
"1275","17-25529"
"1276","17-25577"
"1277","17-25578"
"1278","17-25621"
"1279","17-25622"
"1280","17-25626"
"1281","17-25627"
"1282","17-25644"
"1283","17-25645"
"1284","17-25649"
"1285","17-25654"
"1286","17-25655"
"1287","17-25675"
"1288","17-25676"
"1289","17-25738"
"1290","17-25806"
"1291","17-25871"
